Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56
0,-5.4791,1.5114,-1,0.86033,NaN,-0.029284,-0.0047755,NaN,-0.21625,0.27138,-0.15445,-0.21344,NaN,0.53683,NaN,1.7989,NaN,0.21621,1.015,1.3394,NaN,NaN,0.22951,0.33517,0.74946,0.30507,0.48738,0.78932,NaN,NaN,NaN,0.84208,NaN,NaN,NaN,0.51694,NaN,0.816,NaN,1.3622,NaN,0.77025,NaN,0.19653,-0.16191,-0.15485,NaN,-0.095878,-0.37045,0.25548,NaN,0.082754,0.02632,-0.18304,-0.20276,NaN,NaN,NaN,-0.091548
0.165,-5.4771,1.5151,-1,0.89816,NaN,-0.041195,0.027495,NaN,-0.22054,0.27891,-0.17506,-0.22208,NaN,0.61645,NaN,1.8661,NaN,0.29866,1.034,1.5711,NaN,NaN,0.22869,0.29459,0.86759,0.31096,0.47806,0.86297,NaN,NaN,NaN,0.82042,NaN,NaN,NaN,0.51343,NaN,0.84434,NaN,1.4125,NaN,0.95292,NaN,0.26246,-0.16283,-0.1528,NaN,-0.089781,-0.35388,0.25251,NaN,0.11741,0.037162,-0.20041,-0.18046,NaN,NaN,NaN,-0.051253
0.33,-5.4725,1.5167,-1,0.83825,0.31196,-0.052978,0.066828,0.29264,-0.22495,0.22922,-0.18743,-0.22727,0.1034,0.61085,0.31395,1.819,1.6269,0.41666,1.0455,1.722,1.3252,0.81539,0.22819,0.2617,0.90565,0.29781,0.47247,0.90715,0.098524,NaN,0.13462,0.76238,1.2433,NaN,NaN,0.5756,NaN,0.86134,1.6546,1.4125,0.50743,1.0625,0.11043,0.30201,-0.1547,-0.10338,-0.24704,-0.092533,-0.32816,0.22088,0.11004,0.1382,0.032764,-0.2234,-0.15738,-0.18611,-0.23292,-0.093453,-0.025359
0.5,-5.4755,1.5171,-1,0.83344,0.35775,-0.072999,0.12344,0.28903,-0.23708,0.1891,-0.22254,-0.23952,0.061004,0.66213,0.26511,1.786,1.59,0.69457,1.1379,1.9395,1.2973,0.73737,0.28855,0.24965,1.076,0.25345,0.49644,0.95533,0.11104,NaN,0.21269,0.70708,1.3315,NaN,0.82016,0.67076,NaN,1.0704,1.4528,1.4936,0.52804,1.1585,0.11379,0.37719,-0.14823,-0.055253,-0.23833,-0.10213,-0.2925,0.17289,0.077975,0.134,0.020725,-0.25518,-0.141,-0.2005,-0.23762,-0.096294,0.023741
0.666,-5.4709,1.5192,2,0.89089,0.57661,-0.079192,0.16971,0.302,-0.24922,0.13887,-0.25315,-0.22519,0.030209,0.59234,0.264,1.5975,1.5204,0.95122,1.1942,2.1651,1.2806,0.69056,0.36933,0.16263,1.0304,0.19521,0.54531,0.98494,0.12456,NaN,0.26746,0.64969,1.3453,NaN,0.89905,0.77082,NaN,1.0617,1.3317,1.473,0.51205,1.1292,0.13263,0.38374,-0.12104,-0.0070646,-0.23311,-0.11334,-0.25645,0.12489,0.058238,0.13359,0.0068323,-0.27992,-0.12725,-0.22006,-0.24044,-0.097999,0.032782
0.831,-5.4726,1.5178,2,0.93535,0.61271,-0.081018,0.22776,0.3603,-0.23323,0.059136,-0.28376,-0.22407,-0.032011,0.47306,0.22042,1.3554,1.3768,1.0865,1.2207,2.2407,1.2247,0.62616,0.41272,0.075612,0.86123,0.17222,0.59476,1.1555,0.1486,NaN,0.36445,0.47955,1.412,1.1565,0.91304,0.86108,NaN,1.053,1.2176,1.4732,0.54786,0.9812,0.15349,0.36979,-0.057632,0.059462,-0.21548,-0.13186,-0.24029,0.081653,0.030165,0.092813,-0.030383,-0.29535,-0.12027,-0.25611,-0.25098,-0.09228,-0.025396
0.996,-5.4724,1.5178,2,0.84284,0.64661,-0.021054,0.26237,0.41214,-0.18381,-0.020598,-0.29548,-0.22454,-0.092598,0.35378,0.20556,1.1434,1.2848,1.1739,1.3122,2.1299,1.0874,0.56511,0.47446,0.097529,0.76413,0.15943,0.6786,1.2813,0.21699,NaN,0.45295,0.35402,1.52,1.1202,0.96602,1.0491,NaN,1.1032,1.1034,1.4432,0.51361,0.82786,0.15849,0.35648,0.011881,0.12101,-0.19962,-0.13485,-0.2402,0.092774,-0.0063559,0.053509,-0.067598,-0.29923,-0.15252,-0.28183,-0.21795,-0.08656,-0.08579
1.167,-5.4682,1.5206,2,0.82922,0.67267,0.043546,0.27701,0.45188,-0.13255,0.029664,-0.28803,-0.23866,-0.13047,0.28787,0.20985,1.0693,1.3551,1.1927,1.3454,1.9973,0.95339,0.58523,0.51719,0.12814,0.70055,0.22477,0.78813,1.407,0.27937,NaN,0.4616,0.25666,1.6137,1.0984,0.99732,1.1729,NaN,1.1998,1.007,1.4892,0.50363,0.78386,0.15947,0.34836,0.072711,0.13393,-0.1887,-0.12485,-0.25588,0.13374,-0.026211,0.012736,-0.11064,-0.29082,-0.196,-0.30425,-0.14901,-0.019962,-0.15595
1.334,-5.4679,1.521,2,0.79971,0.6056,0.094463,0.32892,0.55411,-0.062036,0.083285,-0.27114,-0.29021,-0.12893,0.29179,0.27321,1.0079,1.4903,1.0988,1.3172,1.8647,0.83169,0.60758,0.50125,0.16991,0.8844,0.33179,0.88146,1.5194,0.29616,0.39646,0.47892,0.17165,1.8083,1.0695,1.0178,1.2902,0.75041,1.2732,1.0707,1.5317,0.52723,0.91642,0.18297,0.3445,0.11784,0.14326,-0.17474,-0.10435,-0.27156,0.18295,0.017732,0.03699,-0.20617,-0.28178,-0.2696,-0.31825,-0.076065,0.065758,-0.21806
1.497,-5.4658,1.5232,2,0.64314,0.34713,0.10736,0.34194,0.64122,-0.012213,0.13691,-0.24086,-0.36634,-0.10992,0.30727,0.30836,1.0885,1.6729,1.0098,1.2343,1.7591,0.91685,0.65148,0.43309,0.2432,1.1037,0.38545,0.81775,1.4646,0.30694,0.43355,0.5367,0.095879,2.042,1.0074,0.98501,1.3774,0.55738,1.2542,1.1343,1.6055,0.60764,1.0381,0.18964,0.3508,0.1278,0.089484,-0.13763,-0.10054,-0.30584,0.22599,0.076027,0.10526,-0.3017,-0.27275,-0.33838,-0.31893,-0.0031236,0.054695,-0.10291
