Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57,Neuron 58,Neuron 59,Neuron 60,Neuron 61,Neuron 62,Neuron 63,Neuron 64,Neuron 65,Neuron 66,Neuron 67,Neuron 68
0,-0.58626,-2.1828,2,0.11624,-0.0045702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.42108,0.26765,NaN,NaN,0.73782,0.64666,0.35929,1.2546,NaN,NaN,0.26835,NaN,NaN,0.29008,0.21496,NaN,0.1655,0.21017,0.18758,NaN,NaN,NaN,-0.02064,NaN,NaN,NaN,0.48266,NaN,NaN,NaN,NaN,NaN,0.2335,NaN,0.013464,NaN,-0.0075316,NaN,0.055983,NaN,NaN,0.19962,NaN,0.38577,NaN,NaN,0.16828,NaN,NaN,NaN,NaN,0.41916,NaN,0.74842,NaN,0.3681,NaN,0.25827,NaN
0.165,-0.57618,-2.1875,2,0.063806,-0.0024619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3806,0.22936,NaN,NaN,0.75808,0.67314,0.38464,1.2831,NaN,NaN,0.33813,NaN,NaN,0.32525,0.21235,NaN,0.18622,0.20216,0.20322,NaN,NaN,NaN,-0.020765,NaN,NaN,NaN,0.47678,NaN,NaN,NaN,NaN,NaN,0.40808,NaN,0.016548,NaN,0.034587,NaN,0.056052,NaN,NaN,0.19849,NaN,0.35159,NaN,NaN,0.17047,NaN,NaN,NaN,NaN,0.38439,NaN,0.70135,NaN,0.35684,NaN,0.25386,NaN
0.33,-0.574,-2.1885,2,0.035767,-0.0013718,-0.15972,NaN,NaN,0.0064657,0.14854,0.83915,0.16072,0.35197,0.24262,0.56206,0.45791,0.77023,0.68543,0.4031,1.2733,1.4103,0.35741,0.38,0.63667,0.60782,0.34635,0.20084,-0.045396,0.19427,0.19733,0.21247,0.11665,0.023306,0.63441,-0.024768,0.21441,0.6625,1.0198,0.47304,0.23425,NaN,0.066053,1.0611,0.76171,0.53171,0.10521,0.034601,0.22022,0.039011,0.37318,0.048254,0.047655,0.073025,0.19433,0.045667,0.33109,0.18126,0.04376,0.1684,0.14721,0.11704,-0.016383,0.07388,0.36016,0.37093,0.64187,0.17763,0.34749,0.60163,0.24613,0.60875
0.501,-0.57224,-2.1994,2,-0.0091709,-0.00077419,-0.11993,-0.27185,NaN,-0.0031772,0.1612,0.8503,0.23114,0.30472,0.2329,0.54504,0.43286,0.80581,0.71891,0.44365,1.3035,1.3876,0.35493,0.47418,0.64705,0.58057,0.36212,0.18676,-0.064748,0.22285,0.17901,0.2432,0.1223,0.028787,0.6015,-0.0094504,0.21518,0.64468,0.88526,0.46294,0.23128,NaN,0.10173,1.0468,0.82446,0.73695,0.11767,0.039761,0.21969,0.074978,0.37955,0.051666,0.035995,0.073534,0.19672,0.061856,0.30773,0.18232,0.041696,0.16994,0.10103,0.041282,-0.010116,0.055269,0.32099,0.33165,0.58077,0.17842,0.34651,0.59333,0.23717,0.62645
0.666,-0.56267,-2.2061,2,-0.014474,-0.00094915,-0.14306,-0.28236,-0.25695,0.013596,0.14975,0.78428,0.30466,0.24697,0.21899,0.53667,0.41784,0.80463,0.71617,0.44759,1.2496,1.3582,0.35344,0.58814,0.65669,0.56422,0.37225,0.16608,-0.07636,0.19168,0.1596,0.2168,0.14427,0.036727,0.58175,-0.011346,0.20206,0.63399,0.85303,0.42403,0.10299,0.4383,0.078456,1.0252,0.85584,0.87926,0.10803,0.033975,0.22102,0.089945,0.39992,0.044098,0.042511,0.073839,0.16949,0.068151,0.28101,0.17472,0.03114,0.15027,0.073328,0.0010098,-0.0063558,0.045797,0.28428,0.33573,0.49585,0.18378,0.32053,0.59062,0.22822,0.63376
0.831,-0.55707,-2.2291,2,-0.00053867,-0.0022816,-0.11854,-0.28867,-0.22637,0.0099667,0.1553,0.73808,0.45215,0.20491,0.24944,0.5117,0.37191,0.76831,0.67857,0.42494,1.1593,1.2951,0.37763,0.7232,0.72214,0.5586,0.34657,0.13771,-0.11485,0.13764,0.11973,0.17672,0.17458,0.034563,0.48808,-0.00034388,0.18879,0.62603,0.74633,0.37116,0.12362,0.51395,0.076589,0.90785,0.84742,0.88118,0.095423,0.028189,0.22139,0.11472,0.42157,0.039252,0.027993,0.06261,0.15704,0.08879,0.25403,0.15905,0.020085,0.1383,0.026959,-0.026903,-0.00043212,0.010816,0.28374,0.2691,0.45401,0.17924,0.29455,0.57794,0.21006,0.65054
1.001,-0.55378,-2.2574,2,0.01048,-0.030255,-0.1605,-0.27128,-0.20263,0.034353,0.145,0.66599,0.60947,0.2051,0.28147,0.47274,0.35066,0.68942,0.61255,0.39179,1.0682,1.2346,0.40181,0.82044,0.8048,0.54241,0.25338,0.085825,-0.14928,0.055181,0.084083,0.093154,0.16803,0.045792,0.42636,0.0032856,0.14528,0.57777,0.63964,0.30247,0.076375,0.50255,0.09841,0.78007,0.72569,0.73521,0.014173,0.021282,0.17076,0.090151,0.39448,0.039949,0.043241,0.056971,0.11311,0.087137,0.23383,0.13338,0.008521,0.11739,0.043105,0.15483,0.0058468,0.023237,0.2862,0.33942,0.44189,0.16517,0.21894,0.56341,0.18516,0.62882
1.167,-0.55307,-2.2775,2,0.018078,-0.069864,-0.12932,-0.28387,-0.14557,0.045451,0.13886,0.59364,0.73923,0.20963,0.28991,0.4478,0.30442,0.61054,0.51197,0.36132,0.95673,1.1741,0.43562,0.89504,0.83081,0.50372,0.16019,0.043874,-0.17057,-0.022893,0.037923,0.0097304,0.16147,0.062793,0.37226,0.014288,0.096813,0.57202,0.62164,0.23399,0.05044,0.56037,0.077419,0.65229,0.56861,0.56769,-0.069588,0.032602,0.12014,0.096804,0.36194,0.063325,0.07269,0.033565,0.077359,0.10583,0.2117,0.10637,-0.012349,0.1088,0.055509,0.34749,0.016197,0.050641,0.28034,0.42466,0.43886,0.15414,0.14592,0.51199,0.16534,0.6249
1.332,-0.54609,-2.3015,-1,0.050277,-0.097662,-0.14046,-0.29688,-0.090957,0.051675,0.21671,0.56276,0.87808,0.32744,0.3675,0.43363,0.26227,0.49023,0.41931,0.32514,0.84553,1.1799,0.46943,0.96729,0.84278,0.49032,0.11292,0.011606,-0.17151,-0.043755,-0.0075193,8.33E-05,0.15559,0.079795,0.33359,0.020924,0.09048,0.48517,0.62441,0.21965,0.017077,0.50629,0.036435,0.43423,0.36767,0.40017,-0.09812,0.0014239,0.073907,0.060726,0.31761,0.069152,0.09329,-0.0040463,0.041607,0.083886,0.18729,0.063923,-0.01576,0.080453,0.079218,0.48725,0.034591,0.076452,0.27111,0.49499,0.42647,0.12661,0.092141,0.46283,0.15261,0.64416
1.497,-0.54358,-2.3131,-1,0.14487,-0.042956,-0.019531,-0.2944,-0.018461,0.10379,0.39156,0.66209,1.1007,0.44524,0.46468,0.4927,0.29024,0.37416,0.36995,0.3249,0.84178,1.2015,0.50829,0.97586,0.87362,0.47696,0.06898,0.00098323,-0.14584,-0.03989,-0.051879,0.012057,0.13113,0.081842,0.36074,0.049001,0.13845,0.47679,0.55567,0.22662,0.13153,0.50973,0.04013,0.22914,0.20562,0.25169,-0.10217,-0.018909,0.028321,0.059532,0.25673,0.088105,0.10038,-0.0046433,0.027057,0.071281,0.16287,0.027912,-0.0039612,0.034674,0.10411,0.52147,0.053522,0.14246,0.25942,0.51718,0.41407,0.094199,0.064676,0.41141,0.16067,0.66673
