Time(s),x(mm),y(mm),behavior,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18,Neuron 19,Neuron 20,Neuron 21,Neuron 22,Neuron 23,Neuron 24,Neuron 25,Neuron 26,Neuron 27,Neuron 28,Neuron 29,Neuron 30,Neuron 31,Neuron 32,Neuron 33,Neuron 34,Neuron 35,Neuron 36,Neuron 37,Neuron 38,Neuron 39,Neuron 40,Neuron 41,Neuron 42,Neuron 43,Neuron 44,Neuron 45,Neuron 46,Neuron 47,Neuron 48,Neuron 49,Neuron 50,Neuron 51,Neuron 52,Neuron 53,Neuron 54,Neuron 55,Neuron 56,Neuron 57
0,-2.7287,0.41543,-1,0.28182,0.59654,0.23223,0.45874,0.29751,0.38665,-0.053881,0.078851,-0.088308,-0.02626,0.11963,-0.12358,0.14105,-0.013942,0.055752,-0.03437,0.47397,-0.056507,-0.29886,-0.022898,0.015029,-0.17161,0.25023,0.01676,0.01676,0.47063,-0.30974,0.034008,0.11188,0.69709,1.4688,0.28561,0.70208,0.23651,0.69999,0.11119,0.093092,0.38329,-0.10366,0.046512,0.66309,0.71237,0.21938,0.56082,0.62645,0.018754,0.3098,0.40294,0.2736,0.16713,-0.11525,0.58271,0.055713,-0.35542,-0.074451,0.20285,1.9049
0.163,-2.7028,0.44014,-1,0.27955,0.44159,0.18718,0.46196,0.21259,0.39737,-0.018647,0.11602,-0.094444,0.030312,0.10744,-0.15398,0.11345,-0.066445,0.035437,0.019585,0.52411,-0.0033723,-0.31574,-0.057013,0.0097905,-0.16674,0.22006,0.019424,0.019424,0.45506,-0.32376,0.014364,0.43904,0.75364,1.6288,0.2677,0.71168,0.29947,0.72141,0.16647,0.092604,0.35411,-0.089387,0.075835,0.67657,0.66584,0.20594,0.55201,0.64055,0.032522,0.36909,0.39694,0.34205,0.1921,-0.095439,0.7352,0.065265,-0.34575,-0.096749,0.21203,1.9175
0.333,-2.6925,0.46283,-1,0.26949,0.43972,0.14509,0.47192,0.16163,0.4093,0.0024929,0.13831,-0.10399,-0.0154,0.089277,-0.17896,0.096886,-0.097948,0.018972,0.051958,0.56646,0.035046,-0.32587,-0.077483,0.02308,-0.16381,0.20196,0.017694,0.017694,0.42046,-0.32578,0.0025779,0.60518,0.78866,1.5199,0.25696,0.76897,0.29925,0.68896,0.19964,0.075709,0.3103,-0.11269,0.11237,0.67692,0.6654,0.17487,0.55781,0.61165,0.040782,0.34995,0.39333,0.26486,0.20707,-0.11323,0.78074,0.070995,-0.33713,-0.11612,0.23166,1.925
0.498,-2.6683,0.48712,-1,0.2795,0.4225,0.095923,0.5086,0.064621,0.44353,0.14842,0.20872,-0.11648,0.068357,0.079912,-0.2236,0.072986,-0.09794,0.0072969,0.068026,0.67382,0.10515,-0.28474,-0.07454,0.033227,-0.13862,0.18678,0.01985,0.01985,0.36845,-0.29233,-0.0057231,0.85912,0.85165,1.5989,0.30687,0.88271,0.3576,0.76074,0.38374,0.061191,0.25325,-0.11149,0.2431,0.71319,0.63747,0.13963,0.58756,0.58359,0.073521,0.44208,0.61578,0.24764,0.2462,-0.11926,0.95458,0.06468,-0.29313,-0.13396,0.26844,1.9723
0.664,-2.6362,0.501,-1,0.24539,0.48463,0.077542,0.54141,-0.032392,0.4494,0.2204,0.29661,-0.097408,-0.00038638,0.085656,-0.24211,0.10685,-0.097932,0.0049535,0.084094,0.76761,0.29866,-0.22816,-0.053669,0.0050271,-0.099144,0.17478,0.025589,0.025589,0.31644,-0.22525,-0.039011,0.98831,0.88965,1.4149,0.30384,0.97757,0.41886,0.90702,0.53781,0.058907,0.17764,-0.073843,0.33567,0.77591,0.60955,0.10288,0.59481,0.48958,0.11049,0.3442,0.67684,0.24706,0.19694,-0.12529,1.0114,0.058365,-0.21997,-0.048001,0.33726,2.1148
0.834,-2.6001,0.49483,-1,0.28101,0.57128,0.10741,0.54795,-0.035392,0.40705,0.29583,0.3408,-0.060743,0.034524,0.12214,-0.23742,0.14618,-0.10983,0.029352,0.10979,0.88964,0.46677,-0.17158,0.0015767,-0.016886,-0.065517,0.21695,0.058607,0.058607,0.27993,-0.17853,-0.048242,1.0802,0.88267,1.3962,0.34075,1.0076,0.48925,1.0629,0.77859,0.065444,0.13751,0.013012,0.51022,0.8569,0.54085,0.11038,0.61264,0.41248,0.19364,0.30102,0.75809,0.18954,0.094801,-0.098305,0.97263,0.06665,-0.12014,0.037962,0.4828,2.2627
1,-2.5639,0.48501,-1,0.31663,0.82945,0.22459,0.55062,-0.015943,0.36432,0.32976,0.385,-0.0019704,-0.010222,0.16798,-0.2198,0.21325,-0.088223,0.060968,0.10219,0.93131,0.62934,-0.1249,0.088667,0.0011811,-0.071661,0.33186,0.092013,0.092013,0.23682,-0.1318,-0.062318,1.0277,0.75632,1.1527,0.36355,1.0045,0.49575,1.2008,0.98626,0.06316,0.12144,0.16217,0.60279,0.91961,0.50939,0.14967,0.62414,0.32906,0.24572,0.20314,0.83935,0.1257,0.013519,0.00071954,0.87337,0.077565,-0.02104,0.042391,0.66163,2.4106
1.165,-2.5343,0.47409,-1,0.24948,1.1295,0.38445,0.53991,0.0035064,0.32153,0.38195,0.44311,0.098924,0.036485,0.19442,-0.19113,0.2659,-0.083097,0.076719,0.093779,0.90576,0.7879,-0.092824,0.22117,0.018911,-0.094248,0.45314,0.12875,0.12875,0.20939,-0.080643,-0.067218,1.0055,0.59896,1.1142,0.36692,0.81263,0.59741,1.2223,1.1449,0.051358,0.13168,0.41035,0.65809,0.9819,0.53203,0.2319,0.62335,0.283,0.29779,0.14446,0.9206,0.15612,-0.0053754,0.18386,0.67443,0.088479,0.16775,0.047104,0.92592,2.7711
1.331,-2.5176,0.43119,-1,0.18329,1.4426,0.5443,0.50442,0.0036812,0.27499,0.2825,0.50804,0.22376,-0.034522,0.1551,-0.16889,0.27226,-0.11998,0.092471,0.089425,0.70031,0.93387,-0.11611,0.32316,0.036642,-0.1558,0.61646,0.16884,0.16884,0.1911,-0.088306,-0.045758,0.92379,0.4416,0.97475,0.32369,0.56841,0.60293,1.127,1.1398,0.039557,0.21355,0.68986,0.55113,1.0061,0.63464,0.37527,0.54149,0.22417,0.29556,0.06068,0.74891,0.13798,-0.011677,0.35229,0.41965,0.10548,0.32411,0.03015,1.1786,3.1198
1.5,-2.5128,0.3827,-1,0.11585,1.6877,0.63407,0.44587,0.003856,0.20482,0.28839,0.55368,0.3219,0.029063,0.09952,-0.11726,0.22085,-0.097509,0.070992,0.085072,0.49487,0.93764,-0.13884,0.39576,0.092718,-0.23936,0.75001,0.20078,0.20078,0.14413,-0.054966,0.026646,0.95196,0.29065,1.0116,0.26329,0.32418,0.58381,0.91724,1.0879,0.02251,0.29777,0.93293,0.44959,0.94588,0.79521,0.54,0.45116,0.21437,0.25582,0.093279,0.71063,0.065399,0.033061,0.56773,0.28258,0.077178,0.45202,-0.090606,1.3748,2.7802
